"","neighborhood","income_level","year","Fips","num_at_income_level","pct_at_income_level","median_income","rent_level","no_hhs_at_rent_level","pct_hhs_at_rent_level","median_rent","num_hhs_wo_internet","pct_hhs_wo_internet","rent_burden","borough"
"1","Battery Park/Tribeca","$20,000 to $74,999",2019,101,337.61347,0.06737,"162092","$1,000 to $1,499",2034.16153,0.09655,2740,1591.14481,0.04819,0.218,"Manhattan"
"2","Battery Park/Tribeca","$20,000 to $74,999",2019,101,337.61347,0.06737,"162092","$1,500 to $1,999",1690.08656,0.08022,2740,1591.14481,0.04819,0.218,"Manhattan"
"3","Battery Park/Tribeca","$20,000 to $74,999",2019,101,337.61347,0.06737,"162092","$2,000 or more",14066.68938,0.66766,2740,1591.14481,0.04819,0.218,"Manhattan"
"4","Battery Park/Tribeca","$20,000 to $74,999",2019,101,337.61347,0.06737,"162092","$500 to $999",2158.94928,0.10247,2740,1591.14481,0.04819,0.218,"Manhattan"
"5","Battery Park/Tribeca","$20,000 to $74,999",2019,101,337.61347,0.06737,"162092","Under $500",1118.6475,0.0531,2740,1591.14481,0.04819,0.218,"Manhattan"
"6","Battery Park/Tribeca","$75,000 or more",2019,101,404.24771,0.01575,"162092","$1,000 to $1,499",2034.16153,0.09655,2740,1591.14481,0.04819,0.218,"Manhattan"
"7","Battery Park/Tribeca","$75,000 or more",2019,101,404.24771,0.01575,"162092","$1,500 to $1,999",1690.08656,0.08022,2740,1591.14481,0.04819,0.218,"Manhattan"
"8","Battery Park/Tribeca","$75,000 or more",2019,101,404.24771,0.01575,"162092","$2,000 or more",14066.68938,0.66766,2740,1591.14481,0.04819,0.218,"Manhattan"
"9","Battery Park/Tribeca","$75,000 or more",2019,101,404.24771,0.01575,"162092","$500 to $999",2158.94928,0.10247,2740,1591.14481,0.04819,0.218,"Manhattan"
"10","Battery Park/Tribeca","$75,000 or more",2019,101,404.24771,0.01575,"162092","Under $500",1118.6475,0.0531,2740,1591.14481,0.04819,0.218,"Manhattan"
"11","Battery Park/Tribeca","Less than $20,000",2019,101,849.28364,0.36221,"162092","$1,000 to $1,499",2034.16153,0.09655,2740,1591.14481,0.04819,0.218,"Manhattan"
"12","Battery Park/Tribeca","Less than $20,000",2019,101,849.28364,0.36221,"162092","$1,500 to $1,999",1690.08656,0.08022,2740,1591.14481,0.04819,0.218,"Manhattan"
"13","Battery Park/Tribeca","Less than $20,000",2019,101,849.28364,0.36221,"162092","$2,000 or more",14066.68938,0.66766,2740,1591.14481,0.04819,0.218,"Manhattan"
